Name,v_r(km/s),v_r_std(km/s),v_phi(km/s),v_phi_std(km/s),v_x(km/s),v_x_std(km/s),v_y(km/s),v_y_std(km/s),v_z(km/s),v_z_std(km/s),j_r(kpc km s^-1),j_r_std(kpc km s^-1),j_phi(kpc s^(-1)),j_phi_std(kpc km s^(-1)),j_x(kpc km s^(-1)),j_x_std(kpc km s^(-1)),j_y(kpc km s^(-1)),j_y_std(kpc km s^(-1)),j_z(kpc km s^(-1)),j_z_std(kpc km s^(-1)),L_x(km s^(-1) kpc),L_x_std(km s^(-1) kpc),L_y(km s^(-1) kpc),L_y_std(km s^(-1) kpc),energy_mean(km^2 s^(-2)),energy_std(km^2 s^(-2)),rperi_mean(kpc),rperi_std(kpc),rapo_mean(kpc),rapo_std(kpc),zmax_mean(kpc),zmax_std(kpc),ecc_mean,ecc_std
2.3441038878526766e+18,-400.6252255862448,8.958319334723022,163.45983002532833,4.549905121277787,341.1859370428068,8.079570922209552,266.1715775098538,0.4568957266869264,-67.05012744321017,1.6219512657785884,4438.633417158494,386.84605885627656,-1339.7140424592,36.266668411123874,-4271.833991774749,27.954381785645946,-1205.3634135122488,108.85815126641265,44.766781401538864,1.7593741866458166,-254.5581125057497,3.230756966676056,-10.884807959400206,13.035628119696133,-84967.01572084572,3093.6903493004493,2.3983877182006834,0.1013197933304568,60.850210952758786,4.607766285362451,16.313014698028564,8.748541025753765,0.9235612213611603,0.008409973671055622
2.344108870014716e+18,-84.5374424062184,0.48148783841616793,265.54525307823855,2.4677503508611047,71.39558440604408,0.35975832841370914,269.376147285873,2.4929095425604384,39.376211601687366,1.3584473660250174,145.99026001323452,7.083206514698614,-2181.710167632403,20.246388647665842,-145.81414870145713,3.7592899636570256,-7.168685876865437,0.35130867292737306,17.489328930677424,1.101190432254271,-85.99497896553433,0.7388042668838175,341.7055430047894,11.087357616345615,-143400.6928648185,622.9203623665985,7.23332986831665,0.030502253732591644,13.365119075775146,0.21413359202827395,1.2434025883674622,0.029779670198717783,0.2976173430681229,0.005546603819637585
2.3441133668446607e+18,-61.80036866227722,0.10955859489405223,267.7424655703485,0.9816498729901741,52.24429963169397,0.12154766194347157,269.76999614916707,0.9780776449458406,23.73983358981022,0.6246539519597364,95.06109496158044,2.2544996133503172,-2203.189188721039,8.078982351069488,-95.00102214390998,2.122098547559504,-3.378989036226859,0.0803516385557385,6.060977655738556,0.26325281804838563,-57.04395305832229,0.11441535274774327,204.92853893312758,5.160314093722933,-144962.47497442973,243.88856872376127,7.605214166641235,0.011959400059389112,12.471707248687744,0.08123658865094234,0.6237988710403443,0.012473763334501849,0.24238159209489823,0.002337164571859051
2.3441187656198564e+18,-2.3318639933206375,0.057704128294919374,225.34735058213,0.23990222674355813,-9.591136624765408,0.08041025511965216,225.1552161386315,0.2432383926277388,-14.681998673001905,0.10972412051643049,1.2616297655787967,0.0768343342524207,-1847.810575053733,1.989986636380736,-1.2598635775633569,0.39145717560541377,-0.06673403422294452,0.004069693132074334,4.505862489296431,0.03438602774311342,-59.30028628315288,0.11903334535563197,-123.01879677427712,0.9057942420728139,-157580.89761462662,54.44683763988055,7.719992160797119,0.015415413217007156,8.215331077575684,0.000727679000947723,0.3805300325155258,0.0016257721805831074,0.03108530007302761,0.000956673480324676
2.344121789276361e+18,-72.68700136201218,0.16224092747060603,242.8748682705184,0.9571089694438565,62.192388984837315,0.17314499225868513,245.771683229271,0.9490415912683368,23.166493602560603,0.5978464227102871,73.80135751180218,0.7160484387406645,-1995.865728031901,7.8705956477480665,-73.73330559831086,1.195599061472437,-3.1685984489897523,0.03145134701153034,6.825178564908841,0.2615437131577847,-64.87880640357056,0.14158262507578684,204.5483466772044,4.955558700749428,-150624.49876591316,211.03279659440446,6.989232873916626,0.02283941389585155,11.0342116355896,0.04997875551679993,0.6040725350379944,0.011530130724678261,0.2244262844324112,0.000692505941150154
2.345535172818724e+18,-61.16816805305651,0.09871667775688706,273.9306512634551,0.3011138429521647,59.66438695578914,0.10034259154085043,274.26211442484555,0.30058423705448567,1.980315872902534,0.231296573673168,108.31388920366382,0.6904787697847204,-2255.497804077081,2.479195235817482,-108.31225910650065,1.1751238120921519,-0.5942404141672503,0.003790637217908181,0.08054519926586191,0.0066311581671170865,-9.731178558988011,0.0025067436055320955,18.4028440829508,1.9078751688005873,-143656.98042573154,76.0422721216878,7.669045114517212,0.004402260091485159,12.928652667999268,0.025297643609980085,0.06170538179576397,0.0024754207042593213,0.25534836053848264,0.0006474683803106413
2.345537032539801e+18,-26.063337187280563,0.19487552383203532,209.79248091699074,0.7854560187736459,16.977277919002432,0.2269532384800441,210.7224600074922,0.7764582090270569,0.13213663246150328,0.5980719903962507,19.587734687450553,0.8691514656562,-1710.6384035590604,6.405540182255315,-19.56945369049867,1.317216681702447,-0.8460688159845833,0.03765244562334759,2.344958642761389,0.01537958175228414,-55.850445036386304,0.14861045964622996,5.572430073539951,4.927072592658464,-161067.71474838536,159.58439746793042,6.531011772155762,0.041436117276931535,8.404479598999023,0.0032637122048550585,0.27096552550792696,0.0009677936693488615,0.1254460893571377,0.0029385789010628154
2.345545622474407e+18,-29.916318626042845,0.11837726338462091,225.07425311769566,0.3956344967114005,27.6264325676372,0.12275955086313592,225.366780226485,0.39446226766470993,-49.33818139188175,0.31697162249200683,11.689687228377036,0.14878830790824815,-1850.6903864133023,3.2521151761719445,-11.689083038770368,0.5454776399666885,-0.11884952676407996,0.0015142893506970268,22.079548230734336,0.31787343972594967,-10.428168949251177,0.0027066325358687956,-403.8820831050607,2.6132717654237254,-156120.60821583332,100.93220880239151,7.379996204376221,0.019195750572454186,8.921739864349366,0.011143725750152253,1.0112763166427612,0.00926878611707303,0.09457667544484138,0.0006711901022360929
2.3455541093297695e+18,-94.3335881027557,0.3832683316099905,230.5193214532441,0.7588042141055605,76.87263701451711,0.34546293675547907,236.91484285385428,0.7359724050454806,-10.374040033705885,0.46109777919079736,115.34696419813572,0.8535728935180764,-1874.7647021400185,6.198491154966541,-115.02550299799111,1.3029395826361139,-8.605568533521836,0.073842177773935,6.15918848819588,0.06385072382920572,-97.22976470625619,0.3540455156602645,-50.54316793901958,3.8234743848714308,-152263.68607655767,163.7272335446006,6.231033658981323,0.024003034125133906,11.173658847808838,0.03310429338205127,0.587760990858078,0.005099767733910747,0.2839833557605743,0.0010937451962066925
2.3455564758557727e+18,-89.48034781030117,0.2743483081460555,258.57826541384827,0.6063983169527603,84.66396516040427,0.2639400570597007,260.19506318921435,0.60613985584834,25.305640659853243,0.4542559747595109,138.46488935162643,1.2779372699965776,-2123.3586930922074,4.9728172268725945,-138.44102127889278,1.5984347021613527,-2.570838465424802,0.025254741639129327,5.769289978103642,0.20045537117523743,-33.12792387926606,0.12466981540292751,217.28973063460558,3.7438229287894,-145408.3018886125,140.9326492677121,7.004442167282105,0.012078594665106154,12.827878189086913,0.04330012186538719,0.6225935161113739,0.011164750918136129,0.29363135397434237,0.001030022946584362
